,JSON_ValueString,grams
584,30.0 whole dumpling wrappers,240.0
585,4.5 teaspoons earl grey tea leaves,3.0
586,3.0 whole ears of corn,189.0
587,1.0 whole egg beaten,44.0
588,1.0 whole egg white,30.0
589,1.0 whole egg white,30.0
590,4.0 whole egg whites,120.0
591,4.0 whole egg whites,120.0
592,3.0 whole egg whites,90.0
593,4.0 whole egg whites,120.0
594,4.0 whole egg whites,120.0
595,3.0 whole egg yolks,42.0
596,3.0 whole egg yolks,42.0
597,3.0 whole egg yolks,42.0
598,6.0 whole egg yolks,84.0
599,2.0 whole eggplants,1080.0
600,8.0 whole eggs,352.0
601,8.0 whole eggs,352.0
602,7.0 whole eight inch corn tortillas,280.0
603,2.0 whole english cucumbers,400.0
604,nan user-defined evoo for liberal drizzling,15.0
605,nan user-defined extra-virgin olive oil,15.0
606,1.0 tablespoon fat-free plain greek yogurt,31.0
607,1.0 whole fennel bulb,234.0
608,12.5 whole fingerling potatoes,625.0
609,12.0 whole flour,1440.0
610,0.5 whole french baguette cubed,125.0
611,0.5 whole french bread,125.0
612,2.0 whole fresh bananas frozen,480.0
613,2.0 teaspoons fresh basil,1.0
614,3.0 tablespoons fresh basil,6.0
615,2.0 handfuls fresh basil,25.0
616,1.0 tablespoon fresh basil,2.0
617,0.25 cup fresh basil leaves,8.0
618,3.0 whole fresh bay leaves,3.0
619,1.0 cup fresh bread,35.0
620,0.5 cup fresh bread crumbs,18.0
621,1.0 teaspoon fresh dill,0.5
622,2.0 tablespoons fresh dill,3.0
623,0.25 cup fresh dill,6.0
624,2.0 tablespoons fresh dill,3.0
625,0.25 cup fresh dill,6.0
626,1.0 tablespoon fresh dill,1.5
627,2.0 teaspoons fresh mint,1.0
628,2.0 tablespoons fresh mint,2.4
629,0.5 cup fresh mint leaves,10.0
630,0.666666666667 cup fresh parmesan,66.0
631,4.0 sprigs fresh rosemary,4.0
632,1.0 whole fresh rosemary,5.0
633,8.0 whole fresh sage,14.0
634,0.5 pt. fresh strawberries,170.0
635,3.0 sprigs fresh thyme,3.0
636,1.0 whole fresh thyme,3.0
637,1.0 whole fresh thyme,3.0
638,1.5 cups fromage blanc,345.0
639,2.0 cups fromage blanc,460.0
640,5 teaspoons frozen pineapple-orange juice concentrate,28.0
641,11 oz frozen ripe plantains,308.0
642,16 ounce frozen sweet white corn,450.0
643,4.0 whole garlic cloves,28.0
644,4.0 whole garlic cloves,28.0
645,2.0 teaspoons gherkins,10.0
646,2 slices ginger,28.0
647,0.5 cup glass noodles,80.0
648,1.0 cup goat cheese,115.0
649,150.0 grams goat cheese,150.0
650,2.0 whole golden delicious apples,120.0
651,12 whole graham cracker,180.0
652,4.0 whole granny smith apples,240.0
653,30.0 whole grape leaves,120.0
654,4.0 pints grape tomatoes,1200.0
655,7.0 ounces greek yogurt,200.0
656,1.0 whole green onion,5.0
657,10.0 whole green onions,50.0
658,1.0 whole green pepper,42.0
659,1.0 quart green tea,960.0
660,1 pinch ground cinnamon,0.25
661,1.0 pinch ground cinnamon,0.25
662,0.75 cup ground graham crackers,64.0
663,3.0 tablespoons ground instant tapioca,24.0
664,nan user-defined ground thyme,10.0
665,0.75 cup gruyere,75.0
666,1.0 cup gruyere,100.0
667,1.0 cup ham,150.0
668,1.0 whole hamburger bun,42.0
669,4.0 whole hard boiled eggs,176.0
670,1.0 whole head cauliflower,840.0
671,2.0 whole heads endive,170.0
672,2.0 whole heads garlic,80.0
673,1.0 whole heirloom tomato,212.0
674,7.0 tablespoons hot water,105.0
675,1 cup ice cream,200.0
676,4.0 tablespoons ice water,60.0
677,2.0 ounce instant chocolate pudding mix,56.0
678,0.5 cup italian bread crumbs,18.0
679,2.0 tablespoons italian grappa,30.0
680,1.0 pound italian sausage,453.0
681,1.0 whole jalapeno,20.0
682,1.0 whole jalapeno,20.0
683,1.0 whole jicama,659.0
684,1.0 whole jigger dry sherry,45.0
685,10.0 whole kalamata olives,30.0
686,1 pinch kosher salt,0.25
687,nan user-defined kosher salt,0.25
688,1 pinch kosher salt,0.25
689,1.0 pound lasagna pasta,453.0
690,2 sheets lavash bread,126.0
691,1 pint lemon juice,480.0
692,1 teaspoon lemon juice,5.0
693,0.5 teaspoon lemon zest,1.0
694,0.25 tablespoon lemon zest,0.5
695,2.0 whole lemon zest,28.0
696,0.5 teaspoon lemon zest,1.0
697,1.5 tablespoons lemon zest,3.0
698,1.0 tablespoon lemongrass,5.0
699,1.0 whole lime,90.0
700,1.0 whole loaf challah bread,280.0
701,1.0 whole loaf french bread,250.0
702,1 whole loaf white bread,280.0
703,2.0 tablespoons low-fat plain yogurt,61.0
704,32.0 ounces low-fat yogurt,902.0
705,4.0 tablespoons maca powder,36.0
706,2.0 tablespoons melted butter,30.0
707,2 cups meringue frosting,150.0
708,4.0 whole mexican cinnamon,128.0
709,nan user-defined milk,230.0
710,0.5 cup mimolette cheese,58.0
711,3.0 tablespoons mint,5.0
712,1 pound mirepoix,453.0
713,0.5 pound mostaccioli,227.0
714,0.5 cup nicoise olives,75.0
715,0.5 tablespoon non stick cooking spray,7.0
716,0.5 tablespoon non stick cooking spray,7.0
717,0.5 tablespoon non stick cooking spray,7.0
718,1.0 cup nonfat plain yogurt,245.0
719,2.0 pints of blueberries,672.0
720,1 pinch of cayenne pepper,0.25
721,1 pinch of ground cloves,0.25
722,1 pinch of ground nutmeg,0.25
723,2.0 unit of juice lemons,84.0
724,1.0 unit of juice orange,75.0
725,2.0 unit of juice oranges,150.0
726,5.0 unit of juice oranges,375.0
727,1 pinch of salt,0.25
728,1 pinch of salt,0.25
729,1 pinch of salt,0.25
730,1.0 cup olives,155.0
731,1.0 white onion,110.0
732,2.0 whole onion,220.0
733,2.0 whole orange liqueur,150.0
734,0.25 teaspoon orange zest,4.0
735,1.5 tablespoon orange zest,21.0
736,0.5 teaspoon orange zest,7.0
737,2 tablespoons orange zest,28.0
738,1.0 whole orange zest,28.0
739,1.0 whole orange zest,28.0
740,2.0 whole orange zest,56.0
741,5.0 whole orange zest,140.0
742,1.0 whole orange zest,28.0
743,2.0 cups orange-yellow frosting,400.0
744,2.0 whole ounce sea bass fillets,56.0
745,1.0 whole ounce tuaca liqueur,28.0
746,1.0 whole ounce vanilla flavored vodka,28.0
747,8.0 ounces oyster mushrooms,226.0
748,2.0 whole packages active dry yeast,14.0
749,2.0 cups pancake,240.0
750,4.25 slices pancetta,105.0
751,3 slices pancetta,75.0
752,10.5 cups panko,525.0
753,1.0 whole papaya,304.0
754,1.0 cup parmesan,100.0
754,1.0 cup parmigiano reggiano cheese,100.0
755,3.0 tablespoons parmesan,19.0
756,0.333333333333 cup parmesan,33.0
757,0.5 cup parmesan,50.0
758,2 tablespoons parmesan,12.0
759,1.5 cups parmesan,150.0
760,1.0 cup parmesan,100.0
761,0.5 cup parmesan,50.0
762,1.0 cup parmesan,100.0
763,0.25 cup parmesan,25.0
764,4 tablespoon parmesan,25.0
765,0.333333333333 cup parmesan,33.0
766,1.0 cup parmesan,100.0
767,0.25 cup parmesan cheese,25.0
768,0.75 cup parmesan cheese,75.0
769,0.25 cup parmesan cheese,25.0
770,0.75 cup parmesan cheese,75.0
771,0.666666666667 cup parmesan cheese,66.0
772,0.5 cup parmesan cheese,50.0
773,0.5 cup parmigiano-reggiano,50.0
774,0.5 cup parmigiano-reggiano,50.0
775,6.0 whole parsnips,960.0
776,6.0 whole parsnips,960.0
777,6.0 whole parsnips,960.0
778,6.0 whole parsnips,960.0
779,1.0 cup part-skim mozzarella cheese,113.0
780,0.25 cup peanuts,30.0
781,12.0 whole pearl onions,180.0
782,14.0 whole pears,1540.0
783,2.0 cups pecorino cheese,200.0
784,35.0 whole peperoncini,35.0
785,12.0 whole peppercorns,10.0
786,2.5 tablespoons pernod,38.0
787,1 cup pickles,153.0
788,1 whole pie dough,175.0
789,4.0 whole pieces hake,720.0
790,2.0 whole pieces stale white bread crust,100.0
791,1.0 whole pink grapefruit,246.0
792,1.0 whole pita bread,60.0
793,6.0 whole pita bread,360.0
794,12.0 ounces pitted dates,339.0
795,12.0 whole pitted dried plums,110.0
796,0.5 cup pitted nicoise olives,75.0
797,1 whole pizza crust dough,175.0
798,1.0 pound pizza dough,453.0
799,0.333333333333 cup plain breadcrumbs,12.0
800,0.75 cup plain greek yogurt,184.0
801,2.0 whole plum tomatoes,124.0
802,2.0 whole poblano peppers,12.0
803,1.0 whole pork tenderloin,150.0
804,1.0 pound potato tots,453.0
805,1.0 pound potato tots,453.0
806,1.25 whole pound butternut squash,567.0
807,1.0 pound premium semisweet chocolate,453.0
808,3.0 slices prosciutto,45.0
809,8.0 slices provolone cheese,227.0
810,1.0 whole radicchio,370.0
811,5.0 whole radishes,85.0
812,0/5 cup raisins,75.0
813,10 whole raspberries,20.0
814,5 whole raspberries,10.0
815,1 tablespoon raspberry liqueur,15.0
816,6.0 tablespoons raspberry preserves,120.0
817,2.0 whole red bell peppers,240.0
818,4.0 whole red bell peppers,480.0
819,4.0 whole red bliss potatoes roasted,440.0
820,2.0 pints red cherry tomatoes,560.0
821,1.0 whole red pepper,60.0
822,8.0 whole red potatoes,880.0
823,3.0 whole ripe bananas,360.0
824,1 cup risotto,197.0
825,2.0 whole roasted red pepper,120.0
826,1.0 tablespoon rum,15.0
827,4.0 whole russet potatoes,1440.0
828,4.0 whole salmon fillets,452.0
829,1.0 pinch salt,0.25
830,1 pinch salt,0.25
831,1 dash salt,0.25
832,1 pinch salt,0.25
833,1 tablespoon salt,17.0
834,1 tablespoon salt,17.0
835,0.5 cup salted butter,113.0
836,4.0 tablespoons salted butter,56.0
837,2.0 tablespoons salted butter,28.0
838,4.0 tablespoons salted butter,56.0
839,4.0 sticks salted butter,452.0
840,1.0 cup salted butter,226.0
841,1 whole salted caramel buttercream,150.0
842,0.333333333333 cup salted peanuts,40.0
843,3 cups salted pork,339.0
844,5.0 whole scallions,125.0
845,2 bunches scallions,200.0
846,6.0 whole scallions white,150.0
847,1 pinch sea salt,0.25
848,1.0 pinch sea salt,0.25
849,8.0 ounces sea scallops,225.0
850,0.5 pound sea scallops,225.0
851,16.0 ounces semisweet chocolate,440.0
852,4.0 ounces semisweet chocolate,110.0
853,4.0 ounces semisweet chocolate,110.0
854,2.0 ounces semisweet chocolate,55.0
855,0.5 cup semisweet chocolate chips,110.0
856,1.0 cup semisweet chocolate chips,220.0
857,0.5 cup semisweet chocolate chips,110.0
858,0.25 cup semisweet dark chocolate,55.0
859,1.0 whole serrano,6.0
860,2.0 whole serrano,12.0
861,3.0 whole shallots,126.0
862,4.0 tablespoons sharp cheddar,25.0
863,1.0 cup sharp cheddar cheese,100.0
864,1.5 cups sharp yellow cheddar cheese,150.0
865,1.0 whole sheet frozen puff pastry,245.0
866,0.5 pound shiitakes mushroom,227.0
867,0.5 cup shredded cheddar,50.0
868,1.0 ounce shredded cheddar,28.0
869,0.5 cup shredded sharp yellow cheddar,50.0
870,16.0 whole shrimp,272.0
871,1.0 ounce simple syrup,28.25
872,4.0 whole sized bosc pears,440.0
873,1 whole smoked red pepper sauce,175.0
874,1 whole smoked yellow pepper sauce,175.0
875,64 ounce spaghetti sauce,1808.0
876,0.5 cup spanish onion,55.0
877,3.0 whole spanish onion,330.0
878,1.0 whole spanish onion,110.0
879,1.0 whole spanish onion,110.0
879,2.0 whole sweet onions,220.0
880,2.0 whole spears endive,170.0
881,0.5 sprinkle spiced caramelized pecans,15.0
882,1.0 pound spicy sausage,453.0
883,1 tables spoon kosher salt,15.0
884,0.5 sticks unsalted butter,56.0
885,1.0 pint strawberries,340.0
886,1.0 tablespoon sugar,19.0
887,1.0 cup sugar syrup,322.0
888,3.0 whole sugarcane,300.0
889,1.0 cup super shiitake caps,145.0
890,6.0 tablespoons sweet dessert wine,90.0
891,2.0 tablespoons sweet gherkins,30.0
892,4.0 pounds sweet italian sausage links,1814.0
893,5.0 whole sweet potatoes,570.0
894,2.0 whole sweet potatoes,228.0
895,3.0 whole sweet potatoes,342.0
896,4.0 whole tail of filet,452.0
897,1 whole tart dough,175.0
898,1.0 cup taylor ham,150.0
899,1.0 whole tequila,45.0
900,1.0 teaspoon thai red curry paste,6.0
901,6.0 sprigs thyme,6.0
902,2 sprigs thyme,2.0
903,5.0 sprigs thyme,5.0
904,10.0 whole to basil leaves,10.0
905,4.0 tablespoons toffee candy,60.0
906,1.5 pounds tomatillos,680.0
907,6.0 whole tomatillos coarsely,126.0
908,1 bag tortilla chips,200.0
909,0.5 tablespoon triple sec,8.0
910,16.0 whole uncooked shrimp deveined,272.0
911,1.25 teaspoons unflavored gelatin,18.0
912,0.75 ounce unflavored gelatin,21.0
913,1.0 tablespoon unsalted butter,14.0
914,1.25 cups unsalted butter,278.0
915,8.0 tablespoons unsalted butter,113.0
916,1.0 cup unsalted butter,226.0
917,8.0 tablespoons unsalted butter,113.0
918,1.0 cup unsalted butter,226.0
919,2.0 tablespoons unsalted butter,28.0
920,0.333333333333 cup unsalted butter,75.0
921,1.0 tablespoon unsalted butter,14.0
922,4.0 tablespoons unsalted butter,56.0
923,1.0 tablespoons unsalted butter,14.0
924,6.0 tablespoons unsalted butter,70.0
925,1.0 pound unsalted butter,453.0
926,5.0 tablespoons unsalted butter,63.0
927,3.0 tablespoons unsalted butter,42.0
928,1.0 tablespoon unsalted butter,14.0
929,4.0 tablespoons unsalted butter,56.0
930,3.0 tablespoons unsalted butter,42.0
931,2.0 tablespoons unsalted butter,28.0
932,8.0 ounces unsalted butter,226.0
933,0.25 cup unsalted butter,56.0
934,1.0 tablespoon unsalted butter,14.0
935,3.0 tablespoons unsalted butter,42.0
936,0.333333333333 cup unsalted butter,75.0
937,3.0 tablespoons unsalted butter,42.0
938,8.0 ounces unsalted butter,226.0
939,3.0 tablespoons unsalted butter,42.0
940,6.0 tablespoons unsalted butter,84.0
941,3.0 tablespoons unsalted butter,42.0
942,0.5 cup unsalted butter,113.0
943,0.5 cup unsalted butter,113.0
944,2.0 tablespoons unsalted butter,28.0
945,1.0 cup unsalted butter,226.0
946,1.0 tablespoon unsalted butter,14.0
947,0.5 cup unsalted butter,113.0
948,12.5 tablespoons unsalted butter,175.0
949,0.5 cup unsalted butter,113.0
950,16.0 tablespoons unsalted butter,226.0
951,1.0 tablespoon unsalted butter,14.0
952,2.0 tablespoons unsalted butter,28.0
953,1.0 tablespoon unsalted butter,14.0
954,6 tablespoons unsalted butter,84.0
955,5.0 tablespoons unsalted butter,70.0
956,0.5 cup unsalted butter,113.0
957,2.0 sticks unsalted butter,226.0
958,1.0 cup unsalted butter,226.0
959,1.0 stick unsalted butter,113.0
960,5.0 tablespoons unsalted butter,70.0
961,2.0 tablespoons unsalted butter,28.0
962,1.5 sticks unsalted butter,169.0
963,1.0 tablespoon unsalted butter,14.0
964,6.0 tablespoons unsalted butter,84.0
965,3.0 tablespoons unsalted butter,42.0
966,2.0 sticks unsalted butter,24.0
967,5.0 tablespoons unsalted butter,70.0
968,3.0 tablespoons unsalted butter,42.0
969,0.75 cup unsalted butter,169.0
970,0.5 cup unsalted butter,113.0
971,4.0 tablespoons unsalted butter,56.0
972,1.0 stick unsalted butter,113.0
973,1.25 sticks unsalted butter,141.0
974,8.0 tablespoons unsalted butter,113.0
975,1.0 tablespoon unsalted butter,14.0
976,4.0 tablespoons unsalted butter,56.0
977,0.5 cup unsalted butter,113.0
978,4.0 tablespoons unsalted butter,56.0
979,3.0 sticks unsalted butter,339.0
980,2.0 tablespoons unsalted butter,28.0
981,2.0 tablespoons unsalted butter,28.0
982,2.0 tablespoons unsalted butter,28.0
983,2.0 tablespoons unsalted butter,28.0
984,0.75 cup unsalted butter,169.0
985,1.25 sticks unsalted butter,141.0
986,6.0 tablespoons unsalted butter,84.0
987,1.5 cup unsalted butter,339.0
988,0.5 cup unsalted butter,113.0
989,0.5 cup unsalted butter,113.0
990,0.5 cup unsalted peanuts,60.0
991,1.0 cup unsalted raw peanuts,120.0
992,1 whole vanilla bean,7.0
993,2.0 whole vanilla beans,14.0
994,1.0 tablespoon vanilla brandy,15.0
995,0.5 cup vanilla ice cream,100.0
996,1 cup vanilla ice cream,200.0
997,1 scoop vanilla ice cream,100.0
998,1 cup vanilla ice cream,200.0
999,1.0 pint vanilla ice cream,400.0
1000,2.0 whole vidalia onions,250.0
1001,tablespoons extra virgin olive oil,15.0
1002,3.0 tablespoons vodka,45.0
1003,3.0 tablespoons water,45.0
1004,1 tablespoon water,15.0
1005,2.0 tablespoons water,30.0
1006,2.0 tablespoons water,30.0
1007,1.0 tablespoon water,15.0
1008,1.0 tablespoon water,15.0
1009,4.0 tablespoons water,60.0
1010,7.0 whole water chestnuts,114.0
1011,8.0 slices white bread,240.0
1012,8 slices white bread,360.0
1013,6.0 slices white bread,270.0
1014,1.0 pound white bread dough,453.0
1015,3.0 ounces white chocolate,84.0
1016,4.0 ounces white chocolate,112.0
1017,9.0 ounces white chocolate,252.0
1018,6.0 ounces white chocolate,178.0
1019,0.5 cup white chocolate chips,110.0
1020,8.0 whole white corn tortillas,320.0
1021,2 quarts white grape juice,1920.0
1022,2.0 whole white onions,220.0
1023,1.0 whole whole clove,0.5
1024,1.0 whole whole egg,44.0
1025,2.0 whole whole eggs,88.0
1026,2.0 whole whole eggs,88.0
1027,1.5 pound whole sea bass,680.0
1028,2.0 whole yellow onion,220.0
1029,9.0 slices whole-grain bread,450.0
1030,2.0 whole yellow bell peppers,240.0
1031,2.0 pints yellow cherry tomatoes,560.0
1032,2.0 whole yellow onions,220.0
1033,2.0 pounds yukon gold potatoes,907.0
1034,3.5 pounds yukon gold potatoes,1587.5
1035,8.0 whole yukon gold potatoes,1200.0
1036,4.0 whole yukon gold potatoes,600.0
1037,12.0 whole chicken thighs,624
1038,2.0 whole kiwis,138
1039,4 whole pickled radishes,200
1040,3.0 whole carrots,360
1041,8.0 whole hamburger buns,400
1042,.5 oz simple syrup,14
1043,1 whole daikon,50
1044,1 whole blackberry syrup,720
1045,1 whole peppers,60
1046,12.0 whole flour tortillas,480
1047,1.0 whole centercut loin of pork,150
1048,2.0 tablespoons sherry,30
1049,1.0 whole bunch cilantro,200
1050,6.0 ounces smoked trout fillet no skin,168
1051,1.5 whole eggplant,810
1052,0.25 whole all purpose flour,30
1053,8.0 whole flour tortillas,320
1054,0.25 cup steak sauce,60
1055,1.0 whole chicken breast no skin,150
1056,2.0 tablespoon water,30
1057,10.0 whole eggs,440
1058,18.0 whole caramels,203
1059,1 pinch fennel seeds,0.25
1060,0.5 whole sweet onion,55
1061,2.0 whole celery stalks,100
1062,4.0 whole whole wheat pocketless pitas,240
1063,1 pinch ground allspice,0.25
1064,6.0 ounces extra-sharp cheddar,170
1065,1.0 tablespoon basil,2
1066,0.333333333333 cup yellow bell pepper,58.3
1067,0.25 cup popcorn kernels,112
1068,12.0 whole bamboo skewers,600
1069,10.0 whole four inch whole wheat tortillas,300
1070,1.0 cup whole-wheat panko-stylebreadcrumbs,50
1071,1 whole pink chili mayo,227
1072,1.0 whole onion halved lengthwise,110
1073,2.0 whole heads red oak leaf lettuce,309
1074,4.0 whole green mangos halved lengthwise using an asian shredder,560
1075,1.0 tablespoon plus 1 teaspoon olive oil,20
1076,1.0 whole green thai chile,8
1077,8.0 cups baby arugula,168
1078,4.0 sprigs fresh thyme,4
1079,1.0 whole inch loaf italian bread halved lengthwise,400
1080,1.0 whole egg at room temperature,44
1081,0.0357142857143 ml high-quality sherry,10
1082,1.0 tablespoon plus 2 teaspoons instant espresso powder,10
1083,2.0 whole bell peppers,240
1084,0.5 stick butter very cold,56
1085,1.0 whole onion coarsely,110
1086,1 whole whipped cream filling,240
1087,1 whole pear preserves heated,110
1088,2.0 whole garlic cloves very,14
1089,1.0 whole head of garlic halved crosswise,40
1090,1.0 whole head broccoli prepped into florets,608
1091,0.5 stick soft butter,56
1092,1.0 whole ricipe flatbread,170
1093,1.0 whole chipotle chile in adobo,220
1094,0.5 cup plain low-fat yogurt,240
1095,5.0 whole egg whites at room temperature,150
1096,2.0 whole red chiles,28
1097,8.0 ounces egg whites,224
1098,1.5 whole sweet onion cut into to inch,165
1099,0.25 whole ounce cilantro,7
1100,1.0 cup panko breadcrumbs,50
1101,4.0 slices bacon cooked,200
1102,3.0 whole potatoes quartered,330
1103,1 tablespoon spicy cornbread stuffing,3
1104,2.0 cups thai basil leaves,25
1105,2.0 whole jalapeno peppers,40
1106,1 tablespoons butter,14
1107,2.0 whole stalks celery,100
