og_col_name,Betaine,Calcium,Choline,Copper,Fluoride,Folate,Folate_DFE,Folate_food,Folic_acid,Iron,Magnesium,Manganese,Niacin,Pantothenic_acid,Phosphorus,Potassium,Retinol,Riboflavin,Selenium,Sodium,Thiamin,Vitamin_A,Vitamin_B12,Vitamin_B12_added,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_D2,Vitamin_D3,Vitamin_E,Vitamin_E_added,Vitamin_K,Zinc,age_high,age_low,gender,is_breastfeeding,is_pregnant
Age_0_to_0.5_male,2000.0,200.0,0.0002,0.2,10.0,65.0,65.0,65.0,65.0,0.27,30.0,0.003,2.0,1.7,100.0,0.4,400.0,0.3,15.0,2300.0,0.2,400.0,0.4,0.4,0.1,40.0,10.0,10.0,10.0,4.0,4.0,2.0,2.0,0.5,0.0,Male,False,False
Age_0.5_to_1_male,2000.0,260.0,0.0055,0.22,500.0,80.0,80.0,80.0,80.0,11.0,75.0,0.6,4.0,1.8,275.0,0.7,500.0,0.4,20.0,2300.0,0.3,500.0,0.5,0.5,0.3,50.0,10.0,10.0,10.0,5.0,5.0,2.5,3.0,1.0,0.5,Male,False,False
Age_1_to_3_male,2000.0,700.0,0.011000000000000001,0.34,700.0,150.0,150.0,150.0,150.0,7.0,80.0,1.2,6.0,2.0,460.0,3.0,300.0,0.5,20.0,2300.0,0.5,300.0,0.9,0.9,0.5,15.0,15.0,15.0,15.0,6.0,6.0,30.0,3.0,3.0,1.0,Male,False,False
Age_4_to_8_male,2000.0,1000.0,0.015,0.44,1000.0,200.0,200.0,200.0,200.0,10.0,130.0,1.5,8.0,3.0,500.0,3.8,400.0,0.6,30.0,2300.0,0.6,400.0,1.2,1.2,0.6,25.0,15.0,15.0,15.0,7.0,7.0,55.0,5.0,8.0,4.0,Male,False,False
Age_9_to_13_male,2000.0,1300.0,0.025,0.7,2000.0,300.0,300.0,300.0,300.0,8.0,240.0,1.9,12.0,4.0,1250.0,4.5,600.0,0.9,40.0,2300.0,0.9,600.0,1.8,1.8,1.0,45.0,15.0,15.0,15.0,11.0,11.0,60.0,8.0,13.0,9.0,Male,False,False
Age_14_to_18_male,2000.0,1300.0,0.035,0.89,3000.0,400.0,400.0,400.0,400.0,11.0,410.0,2.2,16.0,5.0,1250.0,4.7,900.0,1.3,55.0,2300.0,1.2,900.0,2.4,2.4,1.3,75.0,15.0,15.0,15.0,15.0,15.0,75.0,11.0,18.0,14.0,Male,False,False
Age_19_to_49_male,2000.0,1000.0,0.035,0.9,4000.0,400.0,400.0,400.0,400.0,8.0,420.0,2.3,16.0,5.0,700.0,4.7,900.0,1.3,55.0,2300.0,1.2,900.0,2.4,2.4,1.3,90.0,15.0,15.0,15.0,15.0,15.0,90.0,11.0,49.0,19.0,Male,False,False
Age_50_to_70_male,2000.0,1000.0,0.03,0.9,4000.0,400.0,400.0,400.0,400.0,8.0,360.0,2.3,16.0,5.0,700.0,4.7,900.0,1.3,55.0,2300.0,1.2,900.0,2.4,2.4,1.7,90.0,15.0,15.0,15.0,15.0,15.0,90.0,11.0,70.0,50.0,Male,False,False
Age_71_to_9999_male,2000.0,1200.0,0.03,0.9,4000.0,400.0,400.0,400.0,400.0,8.0,360.0,2.3,16.0,5.0,700.0,4.7,900.0,1.3,55.0,2300.0,1.2,900.0,2.4,2.4,1.7,90.0,20.0,20.0,20.0,15.0,15.0,90.0,11.0,9999.0,71.0,Male,False,False
Age_0_to_0.5_female,2000.0,200.0,0.0002,0.2,10.0,65.0,65.0,65.0,65.0,0.27,30.0,0.003,2.0,1.7,100.0,0.4,400.0,0.3,15.0,2300.0,0.2,400.0,0.4,0.4,0.1,40.0,10.0,10.0,10.0,4.0,4.0,2.0,2.0,0.5,0.0,Female,False,False
Age_0.5_to_1_female,2000.0,260.0,0.0055,0.22,500.0,80.0,80.0,80.0,80.0,11.0,75.0,0.6,4.0,1.8,275.0,0.7,500.0,0.4,20.0,2300.0,0.3,500.0,0.5,0.5,0.3,50.0,10.0,10.0,10.0,5.0,5.0,2.5,3.0,1.0,0.5,Female,False,False
Age_1_to_3_female,2000.0,700.0,0.011000000000000001,0.34,700.0,150.0,150.0,150.0,150.0,7.0,80.0,1.2,6.0,2.0,460.0,3.0,300.0,0.5,20.0,2300.0,0.5,300.0,0.9,0.9,0.5,15.0,15.0,15.0,15.0,6.0,6.0,30.0,3.0,3.0,1.0,Female,False,False
Age_4_to_8_female,2000.0,1000.0,0.015,0.44,1000.0,200.0,200.0,200.0,200.0,10.0,130.0,1.5,8.0,3.0,500.0,3.8,400.0,0.6,30.0,2300.0,0.6,400.0,1.2,1.2,0.6,25.0,15.0,15.0,15.0,7.0,7.0,55.0,5.0,8.0,4.0,Female,False,False
Age_9_to_13_female,2000.0,1300.0,0.021,0.7,2000.0,300.0,300.0,300.0,300.0,8.0,240.0,1.6,12.0,4.0,1250.0,4.5,600.0,0.9,55.0,2300.0,0.3,600.0,1.8,1.8,1.0,45.0,15.0,15.0,15.0,11.0,11.0,60.0,8.0,13.0,9.0,Female,False,False
Age_14_to_18_female,2000.0,1300.0,0.024,0.89,3000.0,400.0,400.0,400.0,400.0,15.0,360.0,1.6,14.0,5.0,1250.0,4.7,700.0,1.0,55.0,2300.0,1.0,700.0,2.4,2.4,1.2,65.0,15.0,15.0,15.0,15.0,15.0,75.0,9.0,18.0,14.0,Female,False,False
Age_19_to_49_female,2000.0,1000.0,0.025,0.9,3000.0,400.0,400.0,400.0,400.0,18.0,320.0,1.8,14.0,5.0,700.0,4.7,700.0,1.1,55.0,2300.0,1.1,700.0,2.4,2.4,1.3,75.0,15.0,15.0,15.0,15.0,15.0,90.0,8.0,49.0,19.0,Female,False,False
Age_50_to_70_female,2000.0,1200.0,0.02,0.9,3000.0,400.0,400.0,400.0,400.0,8.0,320.0,1.8,14.0,5.0,700.0,4.7,700.0,1.1,55.0,2300.0,1.1,700.0,2.4,2.4,1.5,75.0,15.0,15.0,15.0,15.0,15.0,90.0,8.0,0.0,0.0,Female,False,False
Age_71_to_9999_female,2000.0,1200.0,0.02,0.9,3000.0,400.0,400.0,400.0,400.0,8.0,320.0,1.8,14.0,5.0,700.0,4.7,700.0,1.1,55.0,2300.0,1.1,700.0,2.4,2.4,1.5,75.0,20.0,20.0,20.0,15.0,15.0,90.0,8.0,9999.0,71.0,Female,False,False
Age_14_to_18_female_pregnant,2000.0,1300.0,0.03,1.0,3000.0,600.0,600.0,600.0,600.0,27.0,400.0,2.0,18.0,6.0,1250.0,5.1,770.0,1.4,60.0,2300.0,1.4,770.0,2.6,2.6,1.9,80.0,15.0,15.0,15.0,15.0,15.0,120.0,11.0,18.0,14.0,Female,False,True
Age_14_to_18_female_breastfeeding,2000.0,1300.0,0.045,1.3,3000.0,500.0,500.0,500.0,500.0,9.0,360.0,2.6,17.0,7.0,1250.0,5.1,1300.0,1.6,70.0,2300.0,1.4,1300.0,2.8,2.8,2.0,115.0,15.0,15.0,15.0,19.0,19.0,120.0,12.0,18.0,14.0,Female,True,False
Age_19_to_9999_female_pregnant,2000.0,1000.0,0.03,1.0,3000.0,600.0,600.0,600.0,600.0,27.0,400.0,2.0,18.0,6.0,700.0,5.1,770.0,1.4,60.0,2300.0,1.4,770.0,2.6,2.6,1.9,85.0,15.0,15.0,15.0,15.0,15.0,120.0,11.0,9999.0,19.0,Female,False,True
Age_19_to_9999_female_breastfeeding,2000.0,1000.0,0.045,1.3,3000.0,500.0,500.0,500.0,500.0,9.0,360.0,2.6,17.0,7.0,700.0,5.1,1300.0,1.6,70.0,2300.0,1.4,1300.0,2.8,2.8,2.0,120.0,15.0,15.0,15.0,19.0,19.0,120.0,12.0,9999.0,19.0,Female,True,False
